smiles,TPA
C(=C/c1nc2ccccc2s1)\c1ccc(N(c2ccc(/C=C/c3nc4ccccc4s3)cc2)c2ccc(/C=C/c3nc4ccccc4s3)cc2)cc1,5.828945618
COc1cc(N(c2ccc(/C=C/c3nc4ccccc4s3)cc2)c2ccc(/C=C/c3nc4ccccc4s3)cc2)ccc1/C=C/c1nc2ccccc2s1,5.831882477
CCC(=O)CCCOc1cc(N(c2ccc(/C=C/c3nc4ccccc4s3)cc2)c2ccc(/C=C/c3nc4ccccc4s3)cc2)ccc1/C=C/c1nc2ccccc2s1,6.040254711
N#CC(C#N)=Cc1ccc(N(c2ccccc2)c2ccc(C=C(C#N)C#N)cc2)cc1,5.272999559
COC(=O)c1ccc(N(c2ccc(C=C(C#N)C#N)cc2)c2ccc(C=C(C#N)C#N)cc2)cc1,4.912654886
N#CC(C#N)=Cc1ccc(N(c2ccc(C=C(C#N)C#N)cc2)c2ccc(C=C(C#N)C#N)cc2)cc1,5.347107531
COc1cc(N(c2ccc(C=C(C#N)C#N)cc2)c2ccc(C=C(C#N)C#N)cc2)ccc1C=C(C#N)C#N,4.976733742
C(=C/c1ccc(N(c2ccccc2)c2ccc(/C=C/c3ccncc3)cc2)cc1)\c1ccncc1,4.605170186
COC(=O)c1ccc(N(c2ccc(/C=C/c3ccncc3)cc2)c2ccc(/C=C/c3ccncc3)cc2)cc1,3.526360525
C(=C/c1ccc(N(c2ccc(/C=C/c3ccncc3)cc2)c2ccc(/C=C/c3ccncc3)cc2)cc1)\c1ccncc1,4.65396035
Oc1cc(N(c2ccc(/C=C/c3ccncc3)cc2)c2ccc(/C=C/c3ccncc3)cc2)ccc1/C=C/c1ccncc1,4.290459441
COC(=O)c1cc(N(c2ccc(/C=C/c3ccncc3)cc2)c2ccc(/C=C/c3ccncc3)cc2)ccc1/C=C/c1ccncc1,4.584967479
CCCCCCCCCCN(CCCCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(C#N)cc3)c3ccccc23)cc1,5.347107531
CCCCCCCCCCN(CCCCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(C#Cc4ccc(C#N)cc4)cc3)c3ccccc23)cc1,5.913503006
CCCCCCCCCCN(CCCCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(N(CCCCCCCCCC)CCCCCCCCCC)cc3)c3ccccc23)cc1,6.29156914
CCCCCCCCCCN(CCCCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C#CC#Cc3c4ccccc4c(C#Cc4ccc(N(CCCCCCCCCC)CCCCCCCCCC)cc4)c4ccccc34)c3ccccc23)cc1,6.907755279
CCCCCCCCCCN(CCCCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(C#Cc4c5ccccc5c(C#Cc5ccc(N(CCCCCCCCCC)CCCCCCCCCC)cc5)c5ccccc45)cc3)c3ccccc23)cc1,6.579251212
CCCCCCCCCCN(CCCCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(C#Cc4ccc(C#Cc5c6ccccc6c(C#Cc6ccc(N(CCCCCCCCCC)CCCCCCCCCC)cc6)c6ccccc56)cc4)cc3)c3ccccc23)cc1,6.633318433
CCCCCCCCCCN(CCCCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(C#Cc4ccc(C#Cc5ccc(C#Cc6c7ccccc7c(C#Cc7ccc(N(CCCCCCCCCC)CCCCCCCCCC)cc7)c7ccccc67)cc5)cc4)cc3)c3ccccc23)cc1,6.70930434
CCCCCCCCCCN(CCCCCCCCCC)c1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(C#Cc4c(C#N)c(C#Cc5ccc(C#Cc6c7ccccc7c(C#Cc7ccc(N(CCCCCCCCCC)CCCCCCCCCC)cc7)c7ccccc67)cc5)c(C#N)c(C#Cc5ccc(C#Cc6c7ccccc7c(C#Cc7ccc(N(CCCCCCCCCC)CCCCCCCCCC)cc7)c7ccccc67)cc5)c4C#N)cc3)c3ccccc23)cc1,6.733401892
CCN(CC)c1ccc2nc3c4cc(OC)ccc4c(=O)cc-3oc2c1,6.620073207
CCN(CC)c1ccc2nc3c4cc(OCc5ccc(N(c6ccc(/C=C/c7ccc(-c8nnc(-c9ccc(C(C)(C)C)cc9)o8)cc7)cc6)c6ccc(/C=C/c7ccc(-c8nnc(-c9ccc(C(C)(C)C)cc9)o8)cc7)cc6)cc5)ccc4c(=O)cc-3oc2c1,8.809862805
CCN(CC)c1ccc2nc3c4cc(OCCOc5ccc(N(C(=O)OCc6ccc(N(c7ccc(/C=C/c8ccc(-c9nnc(-c%10ccc(C(C)(C)C)cc%10)o9)cc8)cc7)c7ccc(/C=C/c8ccc(-c9nnc(-c%10ccc(C(C)(C)C)cc%10)o9)cc8)cc7)cc6)C(=O)OCc6ccc(N(c7ccc(/C=C/c8ccc(-c9nnc(-c%10ccc(C(C)(C)C)cc%10)o9)cc8)cc7)c7ccc(/C=C/c8ccc(-c9nnc(-c%10ccc(C(C)(C)C)cc%10)o9)cc8)cc7)cc6)cc5)ccc4c(=O)cc-3oc2c1,9.384293679
CCN(CC)c1ccc2nc3c4cc(OCc5cc(COc6cc(C(=O)OCc7ccc(N(c8ccc(/C=C/c9ccc(-c%10nnc(-c%11ccc(C(C)(C)C)cc%11)o%10)cc9)cc8)c8ccc(/C=C/c9ccc(-c%10nnc(-c%11ccc(C(C)(C)C)cc%11)o%10)cc9)cc8)cc7)cc(C(=O)OCc7ccc(N(c8ccc(/C=C/c9ccc(-c%10nnc(-c%11ccc(C(C)(C)C)cc%11)o%10)cc9)cc8)c8ccc(/C=C/c9ccc(-c%10nnc(-c%11ccc(C(C)(C)C)cc%11)o%10)cc9)cc8)cc7)c6)cc(COc6cc(C(=O)OCc7ccc(N(c8ccc(/C=C/c9ccc(-c%10nnc(-c%11ccc(C(C)(C)C)cc%11)o%10)cc9)cc8)c8ccc(/C=C/c9ccc(-c%10nnc(-c%11ccc(C(C)(C)C)cc%11)o%10)cc9)cc8)cc7)cc(C(=O)OCc7ccc(N(c8ccc(/C=C/c9ccc(-c%10nnc(-c%11ccc(C(C)(C)C)cc%11)o%10)cc9)cc8)c8ccc(/C=C/c9ccc(-c%10nnc(-c%11ccc(C(C)(C)C)cc%11)o%10)cc9)cc8)cc7)c6)c5)ccc4c(=O)cc-3oc2c1,10.08996712
CCN(CC)c1ccc2nc3c4cc(OCc5cc(C(=O)Oc6ccc(N(c7ccccc7)c7ccc8c(c7)C(CC)(CC)c7cc(-c9nc%10ccccc%10s9)ccc7-8)cc6)cc(C(=O)Oc6ccc(N(c7ccccc7)c7ccc8c(c7)C(CC)(CC)c7cc(-c9nc%10ccccc%10s9)ccc7-8)cc6)c5)ccc4c(=O)cc-3oc2c1,8.070906089
CCCCCCN(CCCCCC)c1ccc(/C=C/c2ccc(/C=C/c3ccc(N(CCCCCC)CCCCCC)cc3)cc2)cc1,6.721425701
CCCCCCN(CCCCCC)c1ccc(/C=C/c2ccc(/C=C/c3ccc(/C=C/c4ccc(/C=C/c5ccc(N(CCCCCC)CCCCCC)cc5)cc4)cc3)cc2)cc1,7.313220387
CCCCCCN(CCCCCC)c1ccc(/C=C/c2cc3c(/C=C/c4ccc(N(CCCCCC)CCCCCC)cc4)cc2CCc2cc(/C=C/c4ccc(N(CCCCCC)CCCCCC)cc4)c(cc2/C=C/c2ccc(N(CCCCCC)CCCCCC)cc2)CC3)cc1,7.313220387
CCCCCCN(CCCCCC)c1ccc(/C=C/c2ccc(/C=C/c3cc4c(/C=C/c5ccc(/C=C/c6ccc(N(CCCCCC)CCCCCC)cc6)cc5)cc3CCc3cc(/C=C/c5ccc(/C=C/c6ccc(N(CCCCCC)CCCCCC)cc6)cc5)c(cc3/C=C/c3ccc(/C=C/c5ccc(N(CCCCCC)CCCCCC)cc5)cc3)CC4)cc2)cc1,8.131530711
CCCCN(CCCC)c1ccc(/C=C/c2cc(C#N)c(/C=C/c3ccc(N(CCCC)CCCC)cc3)cc2C#N)cc1,7.467371067
CCCCN(CCCC)c1ccc(/C=C(\C#N)c2ccc(/C(C#N)=C/c3ccc(N(CCCC)CCCC)cc3)cc2)cc1,6.791221463
N#C/C(=C\c1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(/C(C#N)=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,6.593044534
CCCCN(CCCC)c1ccc(/C=C/c2ccc(/C=C/c3ccc(N(CCCC)CCCC)cc3)cc2)cc1,6.902742737
Cc1cccc(N(c2ccccc2)c2ccc(/C=C/c3ccc(/C=C/c4ccc(N(c5ccccc5)c5cccc(C)c5)cc4)cc3)cc2)c1,6.690842277
N#Cc1cc(/C=C/c2ccc(N(c3ccccc3)c3ccccc3)cc2)c(C#N)cc1/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,7.544332108
CCCCN(CCCC)c1ccc(/C=C/C=C/c2ccc(N(CCCC)CCCC)cc2)cc1,5.438079309
CCCCN(CCCC)c1ccc(/C=C/C=C/C=C/c2ccc(N(CCCC)CCCC)cc2)cc1,5.828945618
CCCCN(CCCC)c1ccc(/C=C/C=C/C=C/C=C/c2ccc(N(CCCC)CCCC)cc2)cc1,6.01615716
CCCCN(CCCC)c1ccc(/C=C/c2ccc(N(CCCC)CCCC)cc2)cc1,4.700480366
CCCCCCN(CCCCCC)c1ccc(/C=C/c2ccc(C#Cc3ccc(-c4ccc(C#Cc5ccc(/C=C/c6ccc(N(CCCCCC)CCCCCC)cc6)cc5)cc4)cc3)cc2)cc1,7.038783541
CCCCCCN(CCCCCC)c1ccc(/C=C/c2ccc(C#Cc3ccc4c(c3)Cc3cc(C#Cc5ccc(/C=C/c6ccc(N(CCCCCC)CCCCCC)cc6)cc5)ccc3-4)cc2)cc1,7.585788822
CCN(CC)c1ccc2c(COC(=O)c3ccc(OC)cc3)cc(=O)oc2c1,0
CCN(CC)c1ccc(/C=C/c2ccc3c(COC(=O)c4ccc(OC)cc4)cc(=O)oc3c2)cc1,0
N#C/C(=C\c1ccc(N(c2ccc(N(c3ccccc3)c3ccccc3)cc2)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1)c1ccc(/C(C#N)=C/c2ccc(N(c3ccc(N(c4ccccc4)c4ccccc4)cc3)c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)cc1,6.923628628
N#C/C(=C\c1ccc(N(c2ccc(N3c4ccccc4Sc4ccccc43)cc2)c2ccc(N3c4ccccc4Sc4ccccc43)cc2)cc1)c1ccc(/C(C#N)=C/c2ccc(N(c3ccc(N4c5ccccc5Sc5ccccc54)cc3)c3ccc(N4c5ccccc5Sc5ccccc54)cc3)cc2)cc1,7.302496424
N#C/C(=C\c1ccc(N(c2ccc(-n3c4ccccc4c4ccccc43)cc2)c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1)c1ccc(/C(C#N)=C/c2ccc(N(c3ccc(-n4c5ccccc5c5ccccc54)cc3)c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)cc1,6.701960366
CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc(-c3ccc(C#Cc4ccc(N(CCCCCC)CCCCCC)cc4)cc3)cc2)cc1,6.802394763
CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc(C#Cc3ccc(-c4ccc(C#Cc5ccc(C#Cc6ccc(N(CCCCCC)CCCCCC)cc6)cc5)cc4)cc3)cc2)cc1,6.70930434
CCCCCCN(CCCCCC)c1ccc(/C=C/c2ccc(-c3ccc(/C=C/c4ccc(N(CCCCCC)CCCCCC)cc4)cc3)cc2)cc1,6.956545443
CCCCCCCCN(CCCCCCCC)c1ccc(/C=C/c2ccc(C#Cc3ccc(-c4ccc(C#Cc5ccc(/C=C/c6ccc(N(CCCCCCCC)CCCCCCCC)cc6)cc5)cc4)cc3)cc2)cc1,7.029972912
CCCCCCN(CCCCCC)c1ccc(C#Cc2ccc(/C=C/c3ccc(-c4ccc(/C=C/c5ccc(C#Cc6ccc(N(CCCCCC)CCCCCC)cc6)cc5)cc4)cc3)cc2)cc1,7.114769448
CCCCCCCCN(CCCCCCCC)c1ccc(/C=C/c2ccc(/C=C/c3ccc(-c4ccc(/C=C/c5ccc(/C=C/c6ccc(N(CCCCCCCC)CCCCCCCC)cc6)o5)cc4)cc3)o2)cc1,6.721425701
CCCCCCN(CCCCCC)c1ccc(/C=C/c2ccc(/C=C/c3ccc(-c4ccc(/C=C/c5ccc(/C=C/c6ccc(N(CCCCCC)CCCCCC)cc6)s5)cc4)cc3)s2)cc1,8.006367568
CCCCCCCCCC1(CCCCCCCCC)c2cc(C#Cc3ccc(N(CCCCCC)CCCCCC)cc3)ccc2-c2ccc(C#Cc3ccc(N(CCCCCC)CCCCCC)cc3)cc21,7.090076836
CCCCCCCCCC1(CCCCCCCCC)c2cc(/C=C/c3ccc(N(C)C)cc3)ccc2-c2ccc(/C=C/c3ccc(N(C)C)cc3)cc21,4.787491743
CCCCCCCCCC1(CCCCCCCCC)c2cc(/C=C/c3ccc(N)cc3)ccc2-c2ccc(/C=C/c3ccc(N)cc3)cc21,6.01615716
CCCCCCCCCC1(CCCCCCCCC)c2cc(/C=C/c3ccc(N(CCCC)CCCC)cc3)ccc2-c2ccc(/C=C/c3ccc(N(CCCC)CCCC)cc3)cc21,7.13089883
CCCCCCCCCC1(CCCCCCCCC)c2cc(/C=C/c3ccc(N4CCCCC4)s3)ccc2-c2ccc(/C=C/c3ccc(N4CCCCC4)s3)cc21,4.605170186
CCCCCCCCCC1(CCCCCCCCC)c2cc(/C=C/c3ccc(/C=C/c4ccc(N5CCCCC5)s4)s3)ccc2-c2ccc(/C=C/c3ccc(/C=C/c4ccc(N5CCCCC5)s4)s3)cc21,6.745236349
CCCCCCCCCC1(CCCCCCCCC)c2cc(C#Cc3ccc(C#Cc4ccc(N(CCCCCC)CCCCCC)cc4)cc3)ccc2-c2ccc(C#Cc3ccc(C#Cc4ccc(N(CCCCCC)CCCCCC)cc4)cc3)cc21,6.956545443
CCCCCCCCCC1(CCCCCCCCC)c2cc(/C=C/c3ccc(/C=C/c4ccc(N(CCCCCC)CCCCCC)cc4)cc3)ccc2-c2ccc(/C=C/c3ccc(/C=C/c4ccc(N(CCCCCC)CCCCCC)cc4)cc3)cc21,7.677863501
CCCCCCCCCC1(CCCCCCCCC)c2cc(/C=C/c3ccc(/C=C/c4ccc(N(CCCCCC)CCCCCC)cc4)s3)ccc2-c2ccc(/C=C/c3ccc(/C=C/c4ccc(N(CCCCCC)CCCCCC)cc4)s3)cc21,8.612503371
CCCCCCCCCC1(CCCCCCCCC)c2cc(C#Cc3ccc(/C=C/c4ccc(N(CCCCCCCC)CCCCCCCC)cc4)cc3)ccc2-c2ccc(C#Cc3ccc(/C=C/c4ccc(N(CCCCCCCC)CCCCCCCC)cc4)cc3)cc21,7.60090246
